"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"1570","62 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004167502,"01/21/2018","Open","Site to be cleaned.","",986967,201825,0,"in process","2018/01",NA,"Sunday",0,"986967,201825",2
"1571","1528 AMSTERDAM AVENUE","MANHATTAN","09 MANHATTAN","Precinct 30",7,1019880106,"01/16/2018","Open","Site to be cleaned.","",997535,237752,0,"in process","2018/01",NA,"Tuesday",1,"997535,237752",1
"1572","253 WEST  116 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019220006,"12/12/2017","Open","Site to be cleaned.","",996725,232290,0,"in process","2017/12",NA,"Tuesday",1,"996725,232290",1
"1573","3653 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020970034,"12/07/2017","Open","Site to be cleaned.","",998669,241653,0,"in process","2017/12",NA,"Thursday",1,"998669,241653",1
"1574","101 WEST 4 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1005560044,"12/15/2017","Open","Site to be cleaned.","",986989,206090,0,"in process","2017/12",NA,"Friday",1,"986989,206090",1
"1575","43 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004310031,"12/18/2017","Open","Site to be cleaned.","",988345,202957,0,"in process","2017/12",NA,"Monday",1,"988345,202957",2
"1576","1637 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021690029,"11/22/2017","Open","Site to be cleaned.","",1003939,251165,0,"in process","2017/11",NA,"Wednesday",1,"1003939,251165",1
"1577","182 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004390001,"11/07/2017","Open","Site to be cleaned.","",988707,205039,0,"in process","2017/11",NA,"Tuesday",1,"988707,205039",1
"1578","14 WEST  118 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1016010018,"04/12/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/29/2017",999129,231573,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",78,"Wednesday",1,"999129,231573",1
"1579","330 GRAND STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004080024,"03/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/22/2017",986957,200524,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",101,"Monday",1,"986957,200524",2
"1580","50 EAST BROADWAY","MANHATTAN","03 MANHATTAN","Precinct 5",1,1002810023,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/14/2017",985423,199261,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",29,"Monday",1,"985423,199261",1
"1581","158 DELANCY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480033,"10/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/02/2017",988069,200823,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",27,"Friday",1,"988069,200823",3
"1583","269 WEST   25 STREET","MANHATTAN","04 MANHATTAN","Precinct 10",3,1007750001,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/07/2017",985216,211120,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",28,"Monday",1,"985216,211120",4
"1585","100 MADISON STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1002760039,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/15/2017",985508,198750,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",48,"Saturday",1,"985508,198750",1
