"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"2997","754 10 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010610003,"12/18/2017","Open","Site to be cleaned.","",986698,218178,0,"in process","2017/12",NA,"Monday",1,"986698,218178",1
"2999","421 WEST  125 STREET","MANHATTAN","09 MANHATTAN","Precinct 26",7,1019660059,"11/16/2017","Open","Site to be cleaned.","",996685,235122,0,"in process","2017/11",NA,"Thursday",1,"996685,235122",1
"3000","3 MERCER STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1002300044,"07/03/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/12/2017",983579,201638,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",71,"Monday",1,"983579,201638",1
"3003","34 WEST   28 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",3,1008290063,"10/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/13/2017",987235,210878,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",36,"Sunday",0,"987235,210878",1
"3005","121 WEST  124 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019090022,"06/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/28/2017",998971,233463,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",79,"Saturday",1,"998971,233463",1
"3006","2226 3 AVENUE","MANHATTAN","11 MANHATTAN","Precinct 25",8,1017700036,"07/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/09/2017",1001518,231196,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",33,"Friday",1,"1001518,231196",1
"3007","8 EAST    3 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004580011,"07/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/02/2017",986679,203832,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",15,"Tuesday",1,"986679,203832",1
"3008","318 EAST  117 STREET","MANHATTAN","11 MANHATTAN","Precinct 25",8,1016880043,"06/21/2017","Closed","Cleaning crew dispatched. No graffiti on property.","07/17/2017",1001867,229757,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",26,"Wednesday",1,"1001867,229757",1
"3009","625 WEST   55 STREET","MANHATTAN","04 MANHATTAN","Precinct 18",6,1011030015,"03/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/14/2017",986194,219547,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",107,"Wednesday",1,"986194,219547",1
"3011","782 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018700030,"07/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/12/2017",992752,229118,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",44,"Sunday",0,"992752,229118",1
"3012","110 WEST HOUSTON STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1005250026,"10/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",984030,204279,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",57,"Sunday",0,"984030,204279",1
"3014","116 WEST  116 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1018250043,"03/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/14/2017",997925,231618,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",78,"Tuesday",1,"997925,231618",1
"3015","284 MOTT STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1005080025,"03/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/08/2017",985801,203107,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",82,"Saturday",1,"985801,203107",2
"3017","326 EAST    6 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004470019,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/02/2017",987646,204163,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",17,"Monday",1,"987646,204163",1
"3018","90 2 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004470001,"10/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/02/2017",987337,204117,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",27,"Friday",1,"987337,204117",1
"3020","68 CLINTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003440138,"08/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/20/2017",988428,201351,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",63,"Friday",1,"988428,201351",2
"3021","181 BLEECKER STREET","MANHATTAN","02 MANHATTAN","Precinct 6",1,1005400040,"08/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/12/2017",984008,204879,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",68,"Saturday",1,"984008,204879",1
"3024","642 EAST   14 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003960028,"08/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",990848,204746,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",40,"Saturday",1,"990848,204746",1
"3025","184 EAST    7 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003890009,"07/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",989528,203398,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",46,"Sunday",0,"989528,203398",1
"3026","4220 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021630025,"07/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/08/2017",1001690,248606,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",33,"Thursday",1,"1001690,248606",1
"3027","898 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018750036,"07/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",993458,230391,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",16,"Tuesday",1,"993458,230391",1
"3029","951 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018610063,"06/06/2017","Closed","Cleaning crew dispatched. No graffiti on property.","08/03/2017",993839,231064,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",58,"Tuesday",1,"993839,231064",1
"3030","215 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004410033,"07/12/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/28/2017",989594,205211,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",16,"Wednesday",1,"989594,205211",1
"3032","184 EAST    3 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003980022,"10/21/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",988719,202703,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",44,"Saturday",1,"988719,202703",1
"3033","26 7 AVENUE SOUTH","MANHATTAN","02 MANHATTAN","Precinct 6",3,1005830039,"04/07/2017","Closed","Cleaning crew dispatched. No graffiti on property.","07/10/2017",982963,205386,1,"Cleaning crew dispatched. No graffiti on property.","2017/04",94,"Friday",1,"982963,205386",1
"3034","640 FT WASHINGTON AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021800400,"04/17/2017","Closed","Cleaning crew dispatched. No graffiti on property.","06/12/2017",1001858,251178,1,"Cleaning crew dispatched. No graffiti on property.","2017/04",56,"Monday",1,"1001858,251178",1
"3035","2107 AMSTERDAM AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021110004,"04/15/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/08/2017",1001231,244407,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",54,"Saturday",1,"1001231,244407",1
"3036","2552 8 AVENUE","MANHATTAN","10 MANHATTAN","Precinct 32",9,1019427501,"07/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/29/2017",999203,237034,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",78,"Thursday",1,"999203,237034",1
"3038","116 SHERMAN AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022240038,"06/11/2017","Closed","Cleaning crew dispatched. No graffiti on property.","08/08/2017",1005040,254071,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",58,"Sunday",0,"1005040,254071",1
"3039","407 CENTRAL PARK WEST","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018360031,"06/03/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",994605,228754,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",61,"Saturday",1,"994605,228754",1
"3040","507 WEST   26 STREET","MANHATTAN","04 MANHATTAN","Precinct 10",3,1006980028,"07/17/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","10/16/2017",983353,212446,1,"Cleaning crew dispatched.  Cannot locate property.","2017/07",91,"Monday",1,"983353,212446",1
"3041","49 WEST   29 STREET","MANHATTAN","05 MANHATTAN","Precinct 14",3,1008310006,"11/16/2017","Open","Site downloaded for cleaning","",987269,211160,0,"in process","2017/11",NA,"Thursday",1,"987269,211160",1
"3043","345 EAST  104 STREET","MANHATTAN","11 MANHATTAN","Precinct 23",8,1016760020,"07/07/2017","Open","Site downloaded for cleaning","",1000231,226684,0,"in process","2017/07",NA,"Friday",1,"1000231,226684",1
"3044","251A CANAL STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1002090024,"01/25/2018","Open","Site to be cleaned.","",984074,201051,0,"in process","2018/01",NA,"Thursday",1,"984074,201051",1
"3045","717 EAST    5 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003750061,"11/30/2017","Open","Site downloaded for cleaning","",989968,202595,0,"in process","2017/11",NA,"Thursday",1,"989968,202595",1
"3046","394 ST NICHOLAS AVENUE","MANHATTAN","10 MANHATTAN","Precinct 32",9,1019550026,"10/11/2017","Open","Site downloaded for cleaning","",998086,235689,0,"in process","2017/10",NA,"Wednesday",1,"998086,235689",1
"3047","400 WEST  145 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020500152,"12/15/2017","Open","Site to be cleaned.","",999363,239594,0,"in process","2017/12",NA,"Friday",1,"999363,239594",1
"3048","351 WEST   51 STREET","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010420010,"12/18/2017","Open","Site to be cleaned.","",987693,217526,0,"in process","2017/12",NA,"Monday",1,"987693,217526",1
"3049","1653 GEORGE WASHINGTON BR BIKE PATH","MANHATTAN","12 MANHATTAN","Precinct 33",10,NA,"12/07/2017","Open","Property Research Required","",997961,249455,0,"in process","2017/12",NA,"Thursday",1,"997961,249455",1
"3050","990 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018807501,"01/03/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",994112,231572,0,"in process","2018/01",NA,"Wednesday",1,"994112,231572",1
"3052","3920 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021220069,"11/17/2017","Open","Site downloaded for cleaning","",1000411,244784,0,"in process","2017/11",NA,"Friday",1,"1000411,244784",1
"3053","652 10 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010550061,"11/21/2017","Open","Site downloaded for cleaning","",986004,216925,0,"in process","2017/11",NA,"Tuesday",1,"986004,216925",1
"3054","430 EAST    9 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004360024,"10/17/2017","Open","Site downloaded for cleaning","",988724,204416,0,"in process","2017/10",NA,"Tuesday",1,"988724,204416",1
"3055","20 EAST   17 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",2,1008447502,"04/24/2017","Open","Site downloaded for cleaning","",986719,207946,0,"in process","2017/04",NA,"Monday",1,"986719,207946",1
"3056","170 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003440171,"01/17/2018","Open","Site to be cleaned.","",988494,201219,0,"in process","2018/01",NA,"Wednesday",1,"988494,201219",1
"3057","73 LEONARD STREET","MANHATTAN","01 MANHATTAN","Precinct 1",1,1001740009,"01/25/2018","Open","Site to be cleaned.","",982802,200656,0,"in process","2018/01",NA,"Thursday",1,"982802,200656",1
"3059","758 10 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010610064,"11/28/2017","Open","Site to be cleaned.","",986723,218224,0,"in process","2017/11",NA,"Tuesday",1,"986723,218224",1
"3060","3411 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020870033,"12/01/2017","Open","Site to be cleaned.","",997138,238888,0,"in process","2017/12",NA,"Friday",1,"997138,238888",1
"3061","118 WEST    3 STREET","MANHATTAN","02 MANHATTAN","Precinct 6",1,1005430020,"12/15/2017","Open","Site to be cleaned.","",984143,205436,0,"in process","2017/12",NA,"Friday",1,"984143,205436",1
"3063","599 BROADWAY","MANHATTAN","02 MANHATTAN","Precinct 1",1,1005127502,"06/05/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/12/2017",985045,203421,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",99,"Monday",1,"985045,203421",1
"3064","170 SUFFOLK STREET","MANHATTAN","03 MANHATTAN","Precinct 7",2,1003500004,"11/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",988373,201899,1,"Cleaning crew dispatched.  Property cleaned.","2017/11",28,"Monday",1,"988373,201899",1
"3065","174 EAST  104 STREET","MANHATTAN","11 MANHATTAN","Precinct 23",8,1016310044,"04/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/29/2017",999117,227295,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",67,"Sunday",0,"999117,227295",1
"3066","3483 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020890029,"06/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/28/2017",997602,239726,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",22,"Tuesday",1,"997602,239726",1
"3067","419 EAST   11 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004390017,"04/06/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","06/16/2017",988857,204915,1,"Cleaning crew dispatched.  Cannot locate property.","2017/04",71,"Thursday",1,"988857,204915",1
"3068","412 BROADWAY","MANHATTAN","01 MANHATTAN","Precinct 5",1,1001960007,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/06/2017",983654,201253,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",69,"Saturday",1,"983654,201253",1
"3069","294 BOWERY","MANHATTAN","02 MANHATTAN","Precinct 9",1,1005210084,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/28/2017",986324,203198,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",80,"Monday",1,"986324,203198",1
"3070","360 LENOX AVENUE","MANHATTAN","10 MANHATTAN","Precinct 32",9,1017260001,"07/14/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/18/2017",999759,234324,1,"Cleaning crew dispatched. No graffiti on property.","2017/07",66,"Friday",1,"999759,234324",1
"3071","17 WEST   32 STREET","MANHATTAN","05 MANHATTAN","Precinct 14",4,1008340029,"06/21/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/11/2017",988071,211599,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",82,"Wednesday",1,"988071,211599",1
"3074","105 MADISON STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1002770016,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/15/2017",985579,198765,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",48,"Saturday",1,"985579,198765",1
"3075","157 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004117502,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",987604,201957,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",68,"Saturday",1,"987604,201957",1
"3076","240 WEST  104 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",6,1018750053,"08/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",992965,230707,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",65,"Tuesday",1,"992965,230707",1
"3078","261 1 AVENUE","MANHATTAN","06 MANHATTAN","Precinct 13",2,1009220020,"09/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",989268,206000,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",66,"Friday",1,"989268,206000",1
"3079","1028 AMSTERDAM AVENUE","MANHATTAN","09 MANHATTAN","Precinct 26",7,1018820036,"09/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",994343,231991,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",78,"Sunday",0,"994343,231991",1
"3080","575 6 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 13",3,1007920033,"05/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/10/2017",985408,208433,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",48,"Tuesday",1,"985408,208433",2
"3081","126 LEXINGTON AVENUE","MANHATTAN","05 MANHATTAN","Precinct 13",2,1008840020,"04/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/30/2017",989157,209931,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",74,"Monday",1,"989157,209931",1
"3082","765 2 AVENUE","MANHATTAN","06 MANHATTAN","Precinct 17",4,1013140028,"03/20/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/19/2017",991795,212184,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",91,"Monday",1,"991795,212184",1
"3083","365 1 AVENUE","MANHATTAN","06 MANHATTAN","Precinct 13",2,1009270027,"03/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/16/2017",990013,207338,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",80,"Tuesday",1,"990013,207338",1
"3084","105 EAST    9 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1005550048,"04/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",986954,205404,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",54,"Sunday",0,"986954,205404",1
"3086","580 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",6,1012360032,"02/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/22/2017",991445,226757,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",88,"Thursday",1,"991445,226757",1
"3088","212 ST NICHOLAS AVENUE","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019260061,"09/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/20/2017",997296,233375,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",27,"Saturday",1,"997296,233375",1
"3089","84 CHRISTOPHER STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1005910047,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/28/2017",983180,206493,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",80,"Monday",1,"983180,206493",1
"3090","4797 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022370059,"08/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",1004822,254839,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",37,"Tuesday",1,"1004822,254839",1
"3091","107 FIRST AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004480030,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/13/2017",988147,204040,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",37,"Monday",1,"988147,204040",1
"3092","247 AUDUBON AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021320021,"07/27/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/11/2017",1002497,247642,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",46,"Thursday",1,"1002497,247642",1
"3093","3818 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021170007,"07/07/2017","Closed","Cleaning crew dispatched.  Owner refused.","08/08/2017",999739,243573,1,"Cleaning crew dispatched.  Owner refused.","2017/07",32,"Friday",1,"999739,243573",1
"3097","230 EAST   78 STREET","MANHATTAN","08 MANHATTAN","Precinct 19",4,1014320038,"06/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",996165,220995,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",63,"Thursday",1,"996165,220995",1
"3098","634 EAST   11 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003930023,"06/20/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","07/28/2017",990197,204167,1,"Cleaning crew dispatched.  Cannot locate property.","2017/06",38,"Tuesday",1,"990197,204167",1
"3100","15 CORNELIA STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1005900038,"06/21/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/12/2017",983725,205790,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",83,"Wednesday",1,"983725,205790",1
"3104","418 EAST  115 STREET","MANHATTAN","11 MANHATTAN","Precinct 23",8,1017080041,"10/11/2017","Open","Mail returned / wrong address","",1002168,228940,0,"other","2017/10",NA,"Wednesday",1,"1002168,228940",1
"3106","558 7 AVENUE","MANHATTAN","05 MANHATTAN","Precinct 14",3,1007890043,"10/21/2017","Open","Site downloaded for cleaning","",987584,214220,0,"in process","2017/10",NA,"Saturday",1,"987584,214220",1
"3107","1589 AMSTERDAM AVENUE","MANHATTAN","09 MANHATTAN","Precinct 26",9,1019570200,"01/03/2018","Open","Site to be cleaned.","",997921,238435,0,"in process","2018/01",NA,"Wednesday",1,"997921,238435",1
"3108","4039 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021380159,"12/07/2017","Open","Site to be cleaned.","",1001052,246164,0,"in process","2017/12",NA,"Thursday",1,"1001052,246164",1
"3109","1141 6 AVENUE","MANHATTAN","05 MANHATTAN","Precinct 14",4,1009970029,"11/30/2017","Open","Site to be cleaned.","",988939,214813,0,"in process","2017/11",NA,"Thursday",1,"988939,214813",1
"3110","30 WEST  138 STREET","MANHATTAN","10 MANHATTAN","Precinct 32",9,1017350047,"11/02/2017","Open","Site to be cleaned.","",1001508,236305,0,"in process","2017/11",NA,"Thursday",1,"1001508,236305",1
"3111","129 EAST   64 STREET","MANHATTAN","08 MANHATTAN","Precinct 19",4,1013990111,"10/20/2017","Open","Site downloaded for cleaning","",993513,218224,0,"in process","2017/10",NA,"Friday",1,"993513,218224",1
"3112","514 WEST  211 STREET","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022280025,"12/09/2017","Open","Site to be cleaned.","",1007039,255250,0,"in process","2017/12",NA,"Saturday",1,"1007039,255250",1
"3113","29 AVENUE C","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003850035,"12/18/2017","Open","Site to be cleaned.","",989601,202165,0,"in process","2017/12",NA,"Monday",1,"989601,202165",1
"3116","30 PRINCE STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004930013,"02/06/2018","Open","Graffiti Reported","",985691,202678,0,"reported","2018/02",NA,"Tuesday",1,"985691,202678",1
"3117","26 9 AVENUE","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006290001,"01/03/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",982668,209045,0,"in process","2018/01",NA,"Wednesday",1,"982668,209045",1
"3118","1062 3 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1013977503,"01/19/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",993979,217590,0,"in process","2018/01",NA,"Friday",1,"993979,217590",1
"3119","314 EAST  100 STREET","MANHATTAN","11 MANHATTAN","Precinct 23",8,1016710039,"04/23/2017","Open","Public Property (Non-City)","",999641,225810,0,"other","2017/04",NA,"Sunday",0,"999641,225810",1
"3121","455 EAST  114 STREET","MANHATTAN","11 MANHATTAN","Precinct 23",8,1017080022,"10/11/2017","Open","Site downloaded for cleaning","",1002395,228533,0,"in process","2017/10",NA,"Wednesday",1,"1002395,228533",1
"3126","205 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003950006,"12/18/2017","Open","Site to be cleaned.","",990149,204682,0,"in process","2017/12",NA,"Monday",1,"990149,204682",1
"3128","415 WEST  127 STREET","MANHATTAN","09 MANHATTAN","Precinct 26",7,1019670066,"09/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",997083,235447,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",28,"Thursday",1,"997083,235447",1
"3129","45 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004200047,"09/21/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",986738,201911,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",74,"Thursday",1,"986738,201911",1
"3131","262 WEST  145 STREET","MANHATTAN","10 MANHATTAN","Precinct 32",9,1020300057,"06/04/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/17/2017",1000636,238889,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",43,"Sunday",0,"1000636,238889",1
"3133","70 WEST  116 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1015990070,"05/15/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/20/2017",998372,231371,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",36,"Monday",1,"998372,231371",1
"3135","2383 BROADWAY","MANHATTAN","07 MANHATTAN","Precinct 24",6,1012350010,"09/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/15/2017",990940,226772,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",70,"Wednesday",1,"990940,226772",1
"3136","2338 AMSTERDAM AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021320058,"06/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/29/2017",1002700,247073,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",23,"Tuesday",1,"1002700,247073",1
"3140","173 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003930008,"02/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/16/2017",989925,204279,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",128,"Wednesday",1,"989925,204279",2
"3141","82 GREENE STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1004850012,"04/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",984081,202863,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",65,"Wednesday",1,"984081,202863",1
"3142","37 CLINTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003490019,"03/27/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",988514,201587,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",74,"Monday",1,"988514,201587",1
"3143","15 MONROE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1002760007,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/14/2017",985421,198479,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",29,"Monday",1,"985421,198479",1
"3146","341 ST NICHOLAS AVENUE","MANHATTAN","09 MANHATTAN","Precinct 26",9,1019540050,"08/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/20/2017",997693,235147,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",58,"Wednesday",1,"997693,235147",1
"3147","130 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004350008,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/12/2017",988298,204301,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",66,"Monday",1,"988298,204301",1
