INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
4013 FOURTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007140001,03/03/2017,Open,Site downloaded for cleaning,,982341,176793
245-16 HOR HARDING EXPRESSWAY S SVC RD,QUEENS,11 QUEENS,Precinct 111,23,4082760100,02/07/2018,Open,Site to be cleaned.,,1057991,216149
4109 FT HAMILTON PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,39,3055920006,12/31/2017,Open,Site to be cleaned.,,986451,173211
158 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010080021,01/17/2018,Open,Site to be cleaned.,,986405,184118
2407 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039730044,01/16/2018,Open,Site to be cleaned.,,1026838,244362
1122 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,2027450002,12/27/2017,Open,Site to be cleaned.,,1014168,240626
78-21 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,30,4089540010,12/07/2017,Open,Site to be cleaned.,,1022626,188695
2450 OCEAN AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3072980045,12/05/2017,Open,Site to be cleaned.,,997595,158655
45-45 39 STREET,QUEENS,02 QUEENS,Precinct 108,26,4001950009,12/12/2017,Open,Site to be cleaned.,,1004660,209983
2915 SURF AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070510048,12/11/2017,Open,Site to be cleaned.,,985611,147987
920 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029170006,12/12/2017,Open,Site to be cleaned.,,1001359,199619
1544 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065460008,12/12/2017,Open,Site to be cleaned.,,994186,165022
6519 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055540003,12/16/2017,Open,Site to be cleaned.,,986931,164780
5506 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3047030003,11/29/2017,Open,Site to be cleaned.,,1004964,176991
114 WEST   26 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,03,1008010051,12/15/2017,Open,Site to be cleaned.,,986430,210735
112 WEST   44 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1009960029,12/15/2017,Open,Site to be cleaned.,,988738,214852
125 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003040016,12/18/2017,Open,Site to be cleaned.,,985658,200946
650 MADISON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,04,1013740014,12/15/2017,Open,Site to be cleaned.,,992274,217670
740 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,3053780038,11/16/2017,Open,Site to be cleaned.,,992890,172274
176 SOUTH    8 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3021390007,01/30/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994777,197696
220 MARINE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061290063,01/23/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,974585,163420
279 EAST    4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003870047,07/29/2017,Open,Public Property (Non-City),,989505,202562
400 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024510016,10/26/2017,Open,Site downloaded for cleaning,,997570,197180
527 NEW JERSEY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3038070024,10/10/2017,Open,Site downloaded for cleaning,,1013832,182001
7901 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3062770006,10/06/2017,Open,Site downloaded for cleaning,,987084,159986
418 4 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009970042,10/17/2017,Open,Site downloaded for cleaning,,987621,183889
240 10 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010150020,10/11/2017,Open,Site downloaded for cleaning,,986858,183524
