INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
2035 FIRST AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016770023,01/17/2018,Open,Site to be cleaned.,,1000710,226724
1181 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041830050,01/24/2018,Open,Site to be cleaned.,,1021493,186647
324 EAST FORDHAM ROAD,BRONX,05 BRONX,Precinct 46,15,2030230029,01/18/2018,Open,Site to be cleaned.,,1013569,253333
1079 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041710127,01/24/2018,Open,Site to be cleaned.,,1020464,186452
6202 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057980041,01/17/2018,Open,Site to be cleaned.,,978170,172805
147 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002830031,01/09/2018,Open,Site to be cleaned.,,986721,199394
97-01 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4100310002,12/07/2017,Open,Site to be cleaned.,,1038130,193347
135 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024570045,12/05/2017,Open,Site to be cleaned.,,994306,198113
75-81 31 AVENUE,QUEENS,03 QUEENS,Precinct 115,22,4011240001,12/02/2017,Open,Site to be cleaned.,,1014207,215684
415 CONCORD AVENUE,BRONX,01 BRONX,Precinct 40,08,2025780021,12/22/2017,Open,Site to be cleaned.,,1009332,234260
271 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019310001,12/16/2017,Open,Site to be cleaned.,,997953,234350
1985 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3067740062,12/12/2017,Open,Site to be cleaned.,,994759,161103
37-13 GREENPOINT AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4002320005,12/12/2017,Open,Site to be cleaned.,,1003925,208125
114-02 FARMERS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4103970025,12/07/2017,Open,Site to be cleaned.,,1050176,193622
692 THOMAS BOYLAND STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035570045,12/07/2017,Open,Site to be cleaned.,,1008610,181166
1104 WEBSTER AVENUE,BRONX,03 BRONX,Precinct 42,16,2023920006,12/18/2017,Open,Site to be cleaned.,,1008825,241484
1680A ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013350011,12/15/2017,Open,Site to be cleaned.,,1002291,186172
1750 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013360015,12/15/2017,Open,Site to be cleaned.,,1003046,186118
2101 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050820055,12/14/2017,Open,Site to be cleaned.,,995408,176181
672 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2035750028,12/18/2017,Open,Site to be cleaned.,,1026215,238272
605 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,03,1007630034,11/16/2017,Open,Site to be cleaned.,,986745,214563
1585 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3075580027,11/07/2017,Open,Site to be cleaned.,,998963,169612
2200 GRANDCONCOURSE,BRONX,05 BRONX,Precinct 46,15,2031570026,10/28/2017,Open,Site to be cleaned.,,1011685,251145
480 EAST  176 STREET,BRONX,06 BRONX,Precinct 48,15,2029170017,07/16/2017,Open,Graffiti Reported,,1012327,247476
109 EAST    6 ROAD,QUEENS,14 QUEENS,Precinct 100,32,4154000014,01/23/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1034939,161216
32-67 47 STREET,QUEENS,01 QUEENS,Precinct 114,26,4007230009,01/14/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008143,214685
88-30 172 STREET,QUEENS,12 QUEENS,Precinct 103,27,4098070088,12/27/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1042503,198437
1049 FOX STREET,BRONX,02 BRONX,Precinct 41,17,2027170048,12/24/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1013616,239903
15-63 149 STREET,QUEENS,07 QUEENS,Precinct 109,19,4046640004,10/22/2017,Open,Site downloaded for cleaning,,1035097,225522
1269 66 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057530049,10/22/2017,Open,Site downloaded for cleaning,,983432,167298
670 FOURTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006360043,10/14/2017,Open,Site downloaded for cleaning,,985630,180955
50 MANHATTAN AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018380021,10/05/2017,Open,Site downloaded for cleaning,,994403,229319
108 WOODRUFF AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050590022,02/02/2018,Open,Site to be cleaned.,,994639,177457
193-16 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4108210044,01/19/2018,Open,Site to be cleaned.,,1048877,199203
2440 TIEBOUT AVENUE,BRONX,05 BRONX,Precinct 46,15,2030220050,01/05/2018,Open,Site to be cleaned.,,1013131,252689
50 STARR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031960031,12/16/2017,Open,Site to be cleaned.,,1004478,194717
2330 VALENTINE AVENUE,BRONX,05 BRONX,Precinct 46,15,2031460016,12/20/2017,Open,Site to be cleaned.,,1012523,251773
55 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003080020,12/18/2017,Open,Site to be cleaned.,,986750,200384
5516 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008320044,10/26/2017,Open,Site to be cleaned.,,981144,172749
1848 CROSS BRONX EXPRESSWAY,BRONX,09 BRONX,Precinct 43,18,2038790031,01/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1021757,243198
661B FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,,02/02/2018,Open,Property Research Required,,995288,178701
2672 PARK AVENUE,BRONX,01 BRONX,Precinct 40,08,,01/26/2018,Open,Property Research Required,,1004384,236302
1935 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,,01/26/2018,Open,Property Research Required,,995605,170993
 west 137 street and 7th avenue,MANHATTAN,01 MANHATTAN,Unspecified,,,01/17/2018,Open,Property Research Required,,,
1A EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,,12/26/2017,Open,Property Research Required,,1009924,250343
40-43 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,,12/07/2017,Open,Property Research Required,,1006791,215743
756 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,,12/07/2017,Open,Property Research Required,,1016795,182078
375 AVENUE X,BROOKLYN,15 BROOKLYN,Precinct 61,47,,10/30/2017,Open,Property Research Required,,992865,154483
8009 atlantic ave,BROOKLYN,01 BROOKLYN,Unspecified,,,11/21/2017,Open,Property Research Required,,,
920 park avenue,BRONX,01 BRONX,Unspecified,,,08/06/2017,Open,Property Research Required,,,
 WEST 161 STREET AND SUMMIT AVENUE,BRONX,01 BRONX,Unspecified,,,08/08/2017,Open,Property Research Required,,,
484 ST JOHNS PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,,07/22/2017,Open,Property Research Required,,994795,184608
2260 baychester avenue,BRONX,01 BRONX,Unspecified,,,08/12/2017,Open,Property Research Required,,,
779 EAST  139 STREET,BRONX,01 BRONX,Precinct 40,17,,07/30/2017,Open,Property Research Required,,1009151,232421
 west 38 street 9 10 ave,MANHATTAN,01 MANHATTAN,Unspecified,,,08/02/2017,Open,Property Research Required,,,
177 177 st,QUEENS,01 QUEENS,Unspecified,,,07/29/2017,Open,Property Research Required,,,
1943 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,,06/25/2017,Open,Property Research Required,,1023166,242936
 1677 flatbush,BROOKLYN,01 BROOKLYN,Unspecified,,,07/14/2017,Open,Property Research Required,,,
206 DEKALB AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,,05/18/2017,Open,Property Research Required,,992211,190496
 396 171 STREET,BRONX,01 BRONX,Unspecified,,,04/20/2017,Open,Property Research Required,,,
85STREET 85STREET,QUEENS,01 QUEENS,Unspecified,,,04/27/2017,Open,Property Research Required,,,
1574 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,,04/19/2017,Open,Property Research Required,,1001113,186254
862 EAST  161 STREET,BRONX,02 BRONX,Precinct 41,17,,04/22/2017,Open,Property Research Required,,1011764,238002
286 HAVEMEYER ST,BROOKLYN,01 BROOKLYN,Unspecified,,,03/26/2017,Open,Property Research Required,,,
280 BERGEN STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3003880019,10/06/2017,Open,Site downloaded for cleaning,,988980,188397
128 PITT STREET,MANHATTAN,03 MANHATTAN,Precinct 7,02,1003400001,01/02/2018,Open,Site to be cleaned.,,989317,201539
390 14 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3011027506,01/11/2018,Open,Site to be cleaned.,,988840,181033
4525 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3048820035,02/02/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1002313,176656
1206 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2038210004,01/03/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1025461,242485
6123 17 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3055250001,01/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986953,166111
116-14 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095700106,12/01/2017,Open,Site downloaded for cleaning,,1032336,189199
224 ESSEX STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039560021,11/21/2017,Open,Site downloaded for cleaning,,1016838,186659
134-02 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4093420001,11/17/2017,Open,Site downloaded for cleaning,,1034561,195216
7908 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059780042,10/26/2017,Open,Site downloaded for cleaning,,976187,168227
52 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004217501,11/05/2017,Open,Site downloaded for cleaning,,986813,201888
181 34 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006840040,10/04/2017,Open,Site downloaded for cleaning,,983246,178150
147-22 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4096920064,10/16/2017,Open,Site downloaded for cleaning,,1037228,196535
1309 AVENUE Z,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074340044,10/23/2017,Open,Site downloaded for cleaning,,996525,153459
769 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3040810046,10/19/2017,Open,Site downloaded for cleaning,,1016929,182160
1094 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046160002,10/19/2017,Open,Site downloaded for cleaning,,1005456,181377
4716 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007640042,10/03/2017,Open,Site downloaded for cleaning,,981201,175364
5524 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008330049,03/21/2017,Open,Site downloaded for cleaning,,981747,172252
383 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018230010,02/21/2017,Open,Site downloaded for cleaning,,998003,188708
228 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033190033,01/29/2018,Open,Site to be cleaned.,,1008156,194688
969 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018620064,01/03/2018,Open,Site to be cleaned.,,993942,231250
1991 UNIVERSITY AVENUE,BRONX,05 BRONX,Precinct 46,14,2032160060,01/08/2018,Open,Site to be cleaned.,,1008727,250643
213 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002850019,01/09/2018,Open,Site to be cleaned.,,987715,199507
263 80 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059780050,01/23/2018,Open,Site to be cleaned.,,975822,168112
5924 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008660049,01/23/2018,Open,Site to be cleaned.,,981709,170950
49 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003107501,01/09/2018,Open,Site to be cleaned.,,987011,200007
47-20 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4007270042,01/14/2018,Open,Site to be cleaned.,,1008835,215658
140-09 ROCKAWAY BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4120320006,12/07/2017,Open,Site to be cleaned.,,1039597,185000
1267 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,44,3067040081,12/12/2017,Open,Site to be cleaned.,,993829,167534
2151 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016600026,12/04/2017,Open,Site to be cleaned.,,1000779,228398
90-36 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4018470005,12/12/2017,Open,Site to be cleaned.,,1019093,209645
2185 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,14,2031620034,12/26/2017,Open,Site to be cleaned.,,1011574,250947
31-26 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,4006580052,12/12/2017,Open,Site to be cleaned.,,1007038,216372
211 WEST  102 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018740022,12/26/2017,Open,Site to be cleaned.,,993045,230067
638 WALTON AVENUE,BRONX,04 BRONX,Precinct 44,08,2023480053,12/19/2017,Open,Site to be cleaned.,,1004377,238597
34 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003980005,12/18/2017,Open,Site to be cleaned.,,988280,202828
3782 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2029270014,12/18/2017,Open,Site to be cleaned.,,1011311,244177
3531 THIRD AVENUE,BRONX,03 BRONX,Precinct 42,16,2023730043,12/18/2017,Open,Site to be cleaned.,,1010359,242219
73 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004130050,12/14/2017,Open,Site to be cleaned.,,986868,200688
1955 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3078200050,12/13/2017,Open,Site to be cleaned.,,1001943,165917
2719 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073320047,11/21/2017,Open,Site to be cleaned.,,999666,157932
214-77 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106060260,11/17/2017,Open,Site to be cleaned.,,1055969,200599
134-04 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4093420002,11/17/2017,Open,Site to be cleaned.,,1034562,195217
116-41 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4122020102,11/17/2017,Open,Site to be cleaned.,,1041842,187603
180-14 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4099160133,11/17/2017,Open,Site to be cleaned.,,1044633,199130
2729 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3036730040,11/21/2017,Open,Site to be cleaned.,,1013776,185610
156-09 ROCKAWAY BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4132670023,11/17/2017,Open,Site to be cleaned.,,1045322,182242
6407 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065530006,11/13/2017,Open,Site to be cleaned.,,989548,163092
2406 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3040170022,10/26/2017,Open,Site to be cleaned.,,1016530,184744
1746 BROADWAY,BROOKLYN,16 BROOKLYN,Precinct 73,37,3015120022,04/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,1009067,188102
4905 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007840007,07/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2017,981521,174472
694 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030890035,08/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1016184,250497
101 WEST   17 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,03,1007930033,07/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2017,985395,208680
536 GLENMORE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039940010,11/06/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,11/28/2017,1014638,184853
426 FIFTH AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010040038,10/03/2017,Closed,Graffiti is intentional.,,988166,183265
28 EAST   33 STREET,MANHATTAN,05 MANHATTAN,Unspecified,02,1008620051,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2017,988899,211427
1743 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3066080079,11/09/2017,Closed,Cleaning crew dispatched. No graffiti on property.,12/05/2017,991669,161646
25 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041060024,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2017,1019239,190222
1049 LOWELL STREET,BRONX,02 BRONX,Precinct 41,17,2027570112,11/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,1015530,240229
141 AVENUE U,BROOKLYN,11 BROOKLYN,Precinct 62,47,3070980046,07/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2017,990053,156539
109-03 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095140028,06/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2017,1030680,188586
258-01 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4087700008,06/22/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2017,1064619,207913
3075 CROPSEY AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069950025,06/25/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2017,988264,150651
92-12 150 STREET,QUEENS,12 QUEENS,Precinct 103,27,4099970013,05/15/2017,Closed,Cleaning crew dispatched. No graffiti on property.,07/12/2017,1038491,195084
1688 EAST   16 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3067980006,05/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/26/2017,996100,161022
101 NORFOLK STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003530040,05/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/26/2017,987806,201144
246 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007720085,05/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2017,984605,210685
2474 CROTONA AVENUE,BRONX,06 BRONX,Precinct 48,15,2031040007,05/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/21/2017,1016695,251053
193-33 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,23,4104580017,05/21/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,06/16/2017,1048880,199210
601 MARLBOROUGH ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052360001,03/17/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,06/14/2017,994436,170735
10424 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46,3082120044,05/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2017,1013340,175085
1885 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066330045,04/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/09/2017,991845,160435
146-57 HORACE HARDING EXPRE,QUEENS,07 QUEENS,Precinct 109,20,4064170031,04/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/08/2017,1033411,209524
1122 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3064980032,02/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/08/2017,993602,168961
46-07 HOLLIS COURT BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19,4055280006,04/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/07/2017,1041863,213679
126-12 18 AVENUE,QUEENS,07 QUEENS,Precinct 109,19,4041320021,03/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/07/2017,1028014,224664
212-08 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106690090,03/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/06/2017,1052480,203450
2520 PARK AVENUE,BRONX,01 BRONX,Precinct 40,08,2023220015,03/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,05/30/2017,1003688,235262
114 SOUTH    1 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024050011,02/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2017,994606,199496
1014A WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,2027240032,04/26/2017,Closed,Cleaning crew dispatched. No graffiti on property.,05/25/2017,1013750,239460
1267 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065240060,02/21/2017,Closed,Cleaning crew dispatched.  Owner refused.,05/04/2017,991045,165953
38 STEUBEN STREET,BROOKLYN,02 BROOKLYN,Precinct 88,33,3018780043,03/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/19/2017,994303,193201
110-11 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4121530009,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,1040713,190584
303 WYTHE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024040001,10/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2017,993957,199631
176 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004780028,10/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/13/2017,985921,201782
1800 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065920034,12/12/2017,Open,Site to be cleaned.,,994503,162834
47 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003030030,10/06/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/09/2017,985683,200184
345 THROOP AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017870005,10/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2017,1000160,191219
1120 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016040023,10/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2017,1003800,192030
147-14 NORTHERN BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4050160027,10/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2017,1034361,218099
2074 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066800039,10/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/27/2017,991876,158633
575 PRESIDENT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3004410024,09/18/2017,Closed,Cleaning crew dispatched. No graffiti on property.,10/26/2017,988652,185943
11 ADELPHI STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020320015,09/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2017,991822,193368
118-17 METROPOLITAN AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4033290001,10/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2017,1030196,196862
150-62 78 ROAD,QUEENS,08 QUEENS,Precinct 107,24,4067110084,08/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/16/2017,1035984,201912
2071 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063460049,09/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2017,985215,159174
32-22 STEINWAY AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006560046,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2017,1006567,215607
5908 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46,3079040041,07/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2017,1006987,164983
1785 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034560009,10/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/10/2017,1009424,187841
2026 LAFONTAINE AVENUE,BRONX,06 BRONX,Precinct 48,17,2030680024,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/10/2017,1013754,248286
486 ATLANTIC AVENUE,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001850010,07/24/2017,Closed,Cleaning crew dispatched. No graffiti on property.,10/03/2017,989255,189133
36-17 20 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008260001,08/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/25/2017,1011013,222616
1130 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042020014,07/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/22/2017,1020971,186542
1176 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042040018,07/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/22/2017,1021462,186636
212-14 48 AVENUE,QUEENS,11 QUEENS,Precinct 111,23,4073710001,08/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/08/2017,1048287,214542
219 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1002060034,07/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/08/2017,984473,200677
35-01 COLLEGE POINT BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4049450001,05/25/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/07/2017,1029693,217482
1321 GREENE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032890061,08/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2017,1006884,194040
988 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,2027420030,07/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2017,1014209,239019
116 EAST  125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,08,1017730007,07/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/28/2017,1001347,232461
2395 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039730003,07/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2017,1026790,244310
246 SEIGEL STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031000041,07/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/14/2017,1002075,196215
1207 MANOR AVENUE,BRONX,09 BRONX,Precinct 43,18,2037750001,07/06/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/08/2017,1018433,241427
609 JACKSON AVENUE,BRONX,01 BRONX,Precinct 40,08,2026230211,07/10/2017,Closed,Cleaning crew dispatched.  Owner refused.,08/07/2017,1009577,236164
585 JACKSON AVENUE,BRONX,01 BRONX,Precinct 40,08,2026230165,07/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/07/2017,1009503,235895
1677 EAST   16 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3067790050,07/18/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/07/2017,996099,161073
